Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ../data/cifar100/cifar-100-python.tar.gz
Extracting ../data/cifar100/cifar-100-python.tar.gz to ../data/cifar100
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.290 | TAw acc= 61.5%, forg=  0.0%| TAg acc= 61.5%, forg=  0.0% <<<
Save at ../results/cifar100_finetuning
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.987, TAw acc= 38.6% | *
| Epoch   2, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=2.320, TAw acc= 37.8% |
| Epoch   3, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.845, TAw acc= 43.4% | *
| Epoch   4, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.605, TAw acc= 49.9% | *
| Epoch   5, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.653, TAw acc= 49.3% |
| Epoch   6, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=2.210, TAw acc= 43.6% |
| Epoch   7, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.791, TAw acc= 48.9% |
| Epoch   8, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=2.035, TAw acc= 45.8% |
| Epoch   9, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.701, TAw acc= 52.8% | lr=3.3e-02
| Epoch  10, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.429, TAw acc= 56.0% | *
| Epoch  11, time=  4.2s | Train: skip eval | Valid: time=  0.4s loss=1.353, TAw acc= 58.0% | *
| Epoch  12, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.555, TAw acc= 54.3% |
| Epoch  13, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.427, TAw acc= 55.4% |
| Epoch  14, time=  4.2s | Train: skip eval | Valid: time=  0.4s loss=1.346, TAw acc= 60.2% | *
| Epoch  15, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.301, TAw acc= 60.0% | *
| Epoch  16, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.456, TAw acc= 56.6% |
| Epoch  17, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.326, TAw acc= 60.5% |
| Epoch  18, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.376, TAw acc= 57.6% |
| Epoch  19, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.385, TAw acc= 59.6% |
| Epoch  20, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.388, TAw acc= 58.9% | lr=1.1e-02
| Epoch  21, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.270, TAw acc= 61.0% | *
| Epoch  22, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.272, TAw acc= 62.2% |
| Epoch  23, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.282, TAw acc= 61.2% |
| Epoch  24, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.296, TAw acc= 59.8% |
| Epoch  25, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.278, TAw acc= 60.7% |
| Epoch  26, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.363, TAw acc= 59.8% | lr=3.7e-03
| Epoch  27, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.256, TAw acc= 61.0% | *
| Epoch  28, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.281, TAw acc= 60.2% |
| Epoch  29, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.264, TAw acc= 61.7% |
| Epoch  30, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.269, TAw acc= 60.6% |
| Epoch  31, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.268, TAw acc= 61.0% |
| Epoch  32, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.278, TAw acc= 61.0% | lr=1.2e-03
| Epoch  33, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.277, TAw acc= 60.7% |
| Epoch  34, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.280, TAw acc= 60.6% |
| Epoch  35, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.273, TAw acc= 61.0% |
| Epoch  36, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.262, TAw acc= 61.2% |
| Epoch  37, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.267, TAw acc= 61.0% | lr=4.1e-04
| Epoch  38, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.269, TAw acc= 60.5% |
| Epoch  39, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.279, TAw acc= 60.7% |
| Epoch  40, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.254, TAw acc= 61.5% | *
| Epoch  41, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.259, TAw acc= 61.2% |
| Epoch  42, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.257, TAw acc= 61.4% |
| Epoch  43, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.259, TAw acc= 61.0% |
| Epoch  44, time=  4.3s | Train: skip eval | Valid: time=  0.4s loss=1.259, TAw acc= 61.0% |
| Epoch  45, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.269, TAw acc= 61.0% | lr=1.4e-04
| Epoch  46, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.277, TAw acc= 60.5% |
| Epoch  47, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.284, TAw acc= 60.6% |
| Epoch  48, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.245, TAw acc= 61.4% | *
| Epoch  49, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.273, TAw acc= 60.5% |
| Epoch  50, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.256, TAw acc= 61.1% |
| Epoch  51, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.251, TAw acc= 60.9% |
| Epoch  52, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.273, TAw acc= 60.7% |
| Epoch  53, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.263, TAw acc= 61.1% | lr=4.6e-05
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.415 | TAw acc= 37.3%, forg= 24.2%| TAg acc= 32.5%, forg= 29.0% <<<
>>> Test on task  1 : loss=1.246 | TAw acc= 62.0%, forg=  0.0%| TAg acc= 33.2%, forg=  0.0% <<<
Save at ../results/cifar100_finetuning
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=2.046, TAw acc= 36.6% | *
| Epoch   2, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.956, TAw acc= 41.1% | *
| Epoch   3, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.832, TAw acc= 42.0% | *
| Epoch   4, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.696, TAw acc= 45.8% | *
| Epoch   5, time=  4.0s | Train: skip eval | Valid: time=  0.5s loss=1.933, TAw acc= 45.0% |
| Epoch   6, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.614, TAw acc= 50.0% | *
| Epoch   7, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.594, TAw acc= 48.9% | *
| Epoch   8, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.645, TAw acc= 51.7% |
| Epoch   9, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.513, TAw acc= 53.1% | *
| Epoch  10, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.470, TAw acc= 54.0% | *
| Epoch  11, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.510, TAw acc= 55.4% |
| Epoch  12, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.523, TAw acc= 53.2% |
| Epoch  13, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.325, TAw acc= 58.7% | *
| Epoch  14, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.353, TAw acc= 57.7% |
| Epoch  15, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.566, TAw acc= 55.4% |
| Epoch  16, time=  4.2s | Train: skip eval | Valid: time=  0.4s loss=1.966, TAw acc= 48.2% |
| Epoch  17, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.587, TAw acc= 55.0% |
| Epoch  18, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.956, TAw acc= 50.4% | lr=3.3e-02
| Epoch  19, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.173, TAw acc= 63.3% | *
| Epoch  20, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.200, TAw acc= 63.9% |
| Epoch  21, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.192, TAw acc= 62.7% |
| Epoch  22, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.157, TAw acc= 64.5% | *
